topic_id,topic_name,subfield_name,field_name,domain_name
https://openalex.org/T11986,Scientific Computing and Data Management,Information Systems and Management,Decision Sciences,Social Sciences
https://openalex.org/T10048,Particle physics theoretical and experimental studies,Nuclear and High Energy Physics,Physics and Astronomy,Physical Sciences
https://openalex.org/T10252,Microbial Natural Products and Biosynthesis,Pharmacology,Medicine,Health Sciences
https://openalex.org/T13085,"Education, Psychology, and Social Research",Education,Social Sciences,Social Sciences
https://openalex.org/T11974,Lepidoptera: Biology and Taxonomy,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T13650,Computational Physics and Python Applications,Artificial Intelligence,Computer Science,Physical Sciences
https://openalex.org/T12565,Physics and Engineering Research Articles,Computational Mechanics,Engineering,Physical Sciences
https://openalex.org/T10362,Biblical Studies and Interpretation,Religious studies,Arts and Humanities,Social Sciences
https://openalex.org/T10885,Gene expression and cancer classification,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T10017,Geology and Paleoclimatology Research,Atmospheric Science,Earth and Planetary Sciences,Physical Sciences
https://openalex.org/T12409,Reformation and Early Modern Christianity,History,Arts and Humanities,Social Sciences
https://openalex.org/T11993,Atomic and Subatomic Physics Research,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences
https://openalex.org/T12552,Fetal and Pediatric Neurological Disorders,"Pediatrics, Perinatology and Child Health",Medicine,Health Sciences
https://openalex.org/T12713,Forest Ecology and Biodiversity Studies,Insect Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T10001,Geological and Geochemical Analysis,Geophysics,Earth and Planetary Sciences,Physical Sciences
https://openalex.org/T12930,Biomedical and Chemical Research,Surgery,Medicine,Health Sciences
https://openalex.org/T12826,Education Methods and Technologies,Education,Social Sciences,Social Sciences
https://openalex.org/T11312,Soil Moisture and Remote Sensing,Environmental Engineering,Environmental Science,Physical Sciences
https://openalex.org/T11662,Legal Cases and Commentary,Reproductive Medicine,Medicine,Health Sciences
https://openalex.org/T10893,Chinese history and philosophy,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T13710,European and International Law Studies,Political Science and International Relations,Social Sciences,Social Sciences
https://openalex.org/T13641,Historical Studies and Socio-cultural Analysis,History and Philosophy of Science,Arts and Humanities,Social Sciences
https://openalex.org/T12455,Mediterranean and Iberian flora and fauna,Plant Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T13167,"Historical, Literary, and Cultural Studies",Classics,Arts and Humanities,Social Sciences
https://openalex.org/T13624,Social Sciences and Policies,General Social Sciences,Social Sciences,Social Sciences
https://openalex.org/T12917,Astronomy and Astrophysical Research,Instrumentation,Physics and Astronomy,Physical Sciences
https://openalex.org/T11937,Research Data Management Practices,Information Systems,Computer Science,Physical Sciences
https://openalex.org/T10995,Methane Hydrates and Related Phenomena,Environmental Chemistry,Environmental Science,Physical Sciences
https://openalex.org/T12012,Diatoms and Algae Research,Biomaterials,Materials Science,Physical Sciences
https://openalex.org/T12983,Satellite Image Processing and Photogrammetry,Ocean Engineering,Engineering,Physical Sciences
https://openalex.org/T13396,Agriculture and Rural Development Research,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T12797,History of Computing Technologies,Computer Science Applications,Computer Science,Physical Sciences
https://openalex.org/T13937,"Genetics, Bioinformatics, and Biomedical Research",Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T10325,Astro and Planetary Science,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences
https://openalex.org/T10597,Nuclear reactor physics and engineering,Aerospace Engineering,Engineering,Physical Sciences
https://openalex.org/T10290,Pregnancy and preeclampsia studies,Obstetrics and Gynecology,Medicine,Health Sciences
https://openalex.org/T11776,Irish and British Studies,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T13602,Educational Methods and Media Use,Information Systems,Computer Science,Physical Sciences
https://openalex.org/T13532,Education Systems and Policy,Education,Social Sciences,Social Sciences
https://openalex.org/T12954,Law and Political Science,Law,Social Sciences,Social Sciences
https://openalex.org/T13297,History and advancements in chemistry,Physical and Theoretical Chemistry,Chemistry,Physical Sciences
https://openalex.org/T11405,Geophysics and Gravity Measurements,Oceanography,Earth and Planetary Sciences,Physical Sciences
https://openalex.org/T12836,History and Developments in Astronomy,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences
https://openalex.org/T12618,Botany and Plant Ecology Studies,Plant Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T13275,Medical and Health Sciences Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences
https://openalex.org/T13130,Biological and pharmacological studies of plants,Pharmacology,Medicine,Health Sciences
https://openalex.org/T12527,Chemistry and Stereochemistry Studies,Organic Chemistry,Chemistry,Physical Sciences
https://openalex.org/T13015,"Botany, Ecology, and Taxonomy Studies",Plant Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T12568,Plant Taxonomy and Phylogenetics,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T13459,Public Administration and Political Analysis,Political Science and International Relations,Social Sciences,Social Sciences
https://openalex.org/T13033,Social Sciences and Governance,Urban Studies,Social Sciences,Social Sciences
https://openalex.org/T12454,European Political History Analysis,History,Arts and Humanities,Social Sciences
https://openalex.org/T10181,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences
https://openalex.org/T11857,Archaeological and Historical Studies,Archeology,Arts and Humanities,Social Sciences
https://openalex.org/T13372,Archaeology and Historical Studies,Archeology,Arts and Humanities,Social Sciences
https://openalex.org/T10385,Plant Diversity and Evolution,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T12613,X-ray Diffraction in Crystallography,Materials Chemistry,Materials Science,Physical Sciences
https://openalex.org/T12768,Linguistics and language evolution,Language and Linguistics,Arts and Humanities,Social Sciences
https://openalex.org/T11468,Genetic Mapping and Diversity in Plants and Animals,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T10487,Plant and animal studies,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T11583,Advanced Measurement and Metrology Techniques,Mechanical Engineering,Engineering,Physical Sciences
https://openalex.org/T11841,Nuclear Structure and Function,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T12021,Social and Educational Sciences,Education,Social Sciences,Social Sciences
https://openalex.org/T12510,Magneto-Optical Properties and Applications,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T11530,Business and Management Studies,Information Systems and Management,Decision Sciences,Social Sciences
https://openalex.org/T10391,Healthcare Policy and Management,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/T12254,Machine Learning in Bioinformatics,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T10908,Analytical Chemistry and Chromatography,Spectroscopy,Chemistry,Physical Sciences
https://openalex.org/T11494,Coleoptera Taxonomy and Distribution,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T10039,"Stellar, planetary, and galactic studies",Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences
https://openalex.org/T10559,Particle Accelerators and Free-Electron Lasers,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T10351,Liver Disease Diagnosis and Treatment,Epidemiology,Medicine,Health Sciences
https://openalex.org/T12645,European history and politics,Political Science and International Relations,Social Sciences,Social Sciences
https://openalex.org/T10012,Genetic diversity and population structure,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T10037,Physics of Superconductivity and Magnetism,Condensed Matter Physics,Physics and Astronomy,Physical Sciences
https://openalex.org/T12762,Crystallography and Radiation Phenomena,Condensed Matter Physics,Physics and Astronomy,Physical Sciences
https://openalex.org/T13556,Historical Influence and Diplomacy,Political Science and International Relations,Social Sciences,Social Sciences
https://openalex.org/T10332,Amphibian and Reptile Biology,Global and Planetary Change,Environmental Science,Physical Sciences
https://openalex.org/T11484,Adaptive optics and wavefront sensing,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences
https://openalex.org/T14162,Historical and Literary Studies,Anthropology,Social Sciences,Social Sciences
https://openalex.org/T11354,Evolution and Paleontology Studies,Paleontology,Earth and Planetary Sciences,Physical Sciences
https://openalex.org/T13099,"Health, Medicine and Society",General Health Professions,Health Professions,Health Sciences
https://openalex.org/T12765,"Race, History, and American Society",Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T11132,Psychoanalysis and Psychopathology Research,Clinical Psychology,Psychology,Social Sciences
https://openalex.org/T10825,Plant Pathogens and Fungal Diseases,Cell Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T12909,French Historical and Cultural Studies,History,Arts and Humanities,Social Sciences
https://openalex.org/T13622,Historical and Environmental Studies,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T14388,Medieval European History and Architecture,Archeology,Arts and Humanities,Social Sciences
https://openalex.org/T10259,Sociology and Education Studies,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T10320,Neural Networks and Applications,Artificial Intelligence,Computer Science,Physical Sciences
https://openalex.org/T12039,Electron and X-Ray Spectroscopy Techniques,"Surfaces, Coatings and Films",Materials Science,Physical Sciences
https://openalex.org/T13031,Civil and Structural Engineering Research,Civil and Structural Engineering,Engineering,Physical Sciences
https://openalex.org/T13068,Ancient Mediterranean Archaeology and History,Archeology,Arts and Humanities,Social Sciences
https://openalex.org/T11808,Superconducting Materials and Applications,Biomedical Engineering,Engineering,Physical Sciences
https://openalex.org/T13856,Advanced Power Generation Technologies,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T11159,Manufacturing Process and Optimization,Industrial and Manufacturing Engineering,Engineering,Physical Sciences
https://openalex.org/T14021,Medieval European Literature and History,Language and Linguistics,Arts and Humanities,Social Sciences
https://openalex.org/T12373,Linguistic research and analysis,Language and Linguistics,Arts and Humanities,Social Sciences
https://openalex.org/T12148,Brazilian Legal Issues,Law,Social Sciences,Social Sciences
https://openalex.org/T11930,"Cardiac, Anesthesia and Surgical Outcomes",Cardiology and Cardiovascular Medicine,Medicine,Health Sciences
https://openalex.org/T12004,Advanced Frequency and Time Standards,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences
https://openalex.org/T10255,Oceanographic and Atmospheric Processes,Oceanography,Earth and Planetary Sciences,Physical Sciences
https://openalex.org/T12771,Plant pathogens and resistance mechanisms,Plant Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T10095,Cosmology and Gravitation Theories,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences
https://openalex.org/T14339,Image Processing and 3D Reconstruction,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
https://openalex.org/T10128,Global trade and economics,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences
https://openalex.org/T12219,Canadian Identity and History,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T12990,Medical History and Innovations,History,Arts and Humanities,Social Sciences
https://openalex.org/T13418,Photocathodes and Microchannel Plates,Biomedical Engineering,Engineering,Physical Sciences
https://openalex.org/T11198,Japanese History and Culture,Cultural Studies,Social Sciences,Social Sciences
https://openalex.org/T13379,"Multiculturalism, Politics, Migration, Gender",Political Science and International Relations,Social Sciences,Social Sciences
https://openalex.org/T14495,Public Health and Nutrition,"Pediatrics, Perinatology and Child Health",Medicine,Health Sciences
https://openalex.org/T10794,Islamic Studies and History,Political Science and International Relations,Social Sciences,Social Sciences
https://openalex.org/T12267,Diet and metabolism studies,Physiology,Medicine,Health Sciences
https://openalex.org/T13053,SMEs Development and Digital Marketing,Demography,Social Sciences,Social Sciences
https://openalex.org/T10038,Tuberculosis Research and Epidemiology,Infectious Diseases,Medicine,Health Sciences
https://openalex.org/T10224,Quantum Chromodynamics and Particle Interactions,Nuclear and High Energy Physics,Physics and Astronomy,Physical Sciences
https://openalex.org/T10683,Mass Spectrometry Techniques and Applications,Spectroscopy,Chemistry,Physical Sciences
https://openalex.org/T10025,Black Holes and Theoretical Physics,Nuclear and High Energy Physics,Physics and Astronomy,Physical Sciences
https://openalex.org/T13398,Data Analysis with R,Artificial Intelligence,Computer Science,Physical Sciences
https://openalex.org/T14449,Education and Character Development,Education,Social Sciences,Social Sciences
https://openalex.org/T10765,Marine Biology and Ecology Research,Oceanography,Earth and Planetary Sciences,Physical Sciences
https://openalex.org/T13621,Ancient and Medieval Archaeology Studies,Archeology,Arts and Humanities,Social Sciences
https://openalex.org/T14156,Engineering Applied Research,Civil and Structural Engineering,Engineering,Physical Sciences
https://openalex.org/T12170,History and Theory of Mathematics,Theoretical Computer Science,Mathematics,Physical Sciences
https://openalex.org/T13184,Research in Social Sciences,Education,Social Sciences,Social Sciences
https://openalex.org/T14102,Corporate Governance and Law,Strategy and Management,"Business, Management and Accounting",Social Sciences
https://openalex.org/T10077,Neuroscience and Neuropharmacology Research,Cellular and Molecular Neuroscience,Neuroscience,Life Sciences
https://openalex.org/T10153,"Education, sociology, and vocational training",Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T10026,"Galaxies: Formation, Evolution, Phenomena",Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences
https://openalex.org/T10166,Mosquito-borne diseases and control,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences
https://openalex.org/T10093,Nuclear physics research studies,Nuclear and High Energy Physics,Physics and Astronomy,Physical Sciences
https://openalex.org/T10815,Parasite Biology and Host Interactions,Ecology,Environmental Science,Physical Sciences
https://openalex.org/T13807,Cultural Insights and Digital Impacts,Computer Networks and Communications,Computer Science,Physical Sciences
https://openalex.org/T13022,Health and Medical Studies,General Health Professions,Health Professions,Health Sciences
https://openalex.org/T14134,Medical and Biological Sciences,Anatomy,Medicine,Health Sciences
https://openalex.org/T11463,Classical Philosophy and Thought,Philosophy,Arts and Humanities,Social Sciences
https://openalex.org/T11949,Nuclear Physics and Applications,Radiation,Physics and Astronomy,Physical Sciences
https://openalex.org/T13394,"Ecology, Conservation, and Geographical Studies",Nature and Landscape Conservation,Environmental Science,Physical Sciences
https://openalex.org/T10021,EFL/ESL Teaching and Learning,Language and Linguistics,Arts and Humanities,Social Sciences
https://openalex.org/T10605,Historical Economic and Social Studies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/T10192,Catalytic Processes in Materials Science,Materials Chemistry,Materials Science,Physical Sciences
https://openalex.org/T10787,Lightning and Electromagnetic Phenomena,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences
https://openalex.org/T12752,Global Peace and Security Dynamics,Political Science and International Relations,Social Sciences,Social Sciences
https://openalex.org/T11594,Tree-ring climate responses,Atmospheric Science,Earth and Planetary Sciences,Physical Sciences
https://openalex.org/T13255,"Business, Innovation, and Economy",Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/T12119,Linguistics and Discourse Analysis,Philosophy,Arts and Humanities,Social Sciences
https://openalex.org/T11757,Seismic Waves and Analysis,Geophysics,Earth and Planetary Sciences,Physical Sciences
https://openalex.org/T13332,"Historical Studies on Reproduction, Gender, Health, and Societal Changes",History,Arts and Humanities,Social Sciences
https://openalex.org/T11546,Plant Physiology and Cultivation Studies,Plant Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T12115,Genetic and Environmental Crop Studies,Plant Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T12624,Maritime and Coastal Archaeology,Archeology,Arts and Humanities,Social Sciences
https://openalex.org/T12959,Engineering and Materials Science Studies,Mechanical Engineering,Engineering,Physical Sciences
https://openalex.org/T10910,Corporate Governance and Management,Strategy and Management,"Business, Management and Accounting",Social Sciences
https://openalex.org/T10299,Photonic and Optical Devices,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T10159,Ionosphere and magnetosphere dynamics,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences
https://openalex.org/T12337,Italian Fascism and Post-war Society,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T11852,Clay minerals and soil interactions,Biomaterials,Materials Science,Physical Sciences
https://openalex.org/T11421,Labor Movements and Unions,Public Administration,Social Sciences,Social Sciences
https://openalex.org/T10522,Medical Imaging Techniques and Applications,"Radiology, Nuclear Medicine and Imaging",Medicine,Health Sciences
https://openalex.org/T11016,Monoclonal and Polyclonal Antibodies Research,"Radiology, Nuclear Medicine and Imaging",Medicine,Health Sciences
https://openalex.org/T14191,Historical Art and Architecture Studies,Conservation,Arts and Humanities,Social Sciences
https://openalex.org/T14468,Plant Ecology and Soil Science,Ecology,Environmental Science,Physical Sciences
https://openalex.org/T12076,Renaissance and Early Modern Studies,History,Arts and Humanities,Social Sciences
https://openalex.org/T10857,Advanced Electron Microscopy Techniques and Applications,Structural Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T14109,Scottish History and National Identity,History,Arts and Humanities,Social Sciences
https://openalex.org/T12319,Fish Biology and Ecology Studies,Aquatic Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T13593,Historical and Archaeological Studies,History,Arts and Humanities,Social Sciences
https://openalex.org/T10302,Fish Ecology and Management Studies,Nature and Landscape Conservation,Environmental Science,Physical Sciences
https://openalex.org/T11365,Islamic Finance and Banking Studies,Accounting,"Business, Management and Accounting",Social Sciences
https://openalex.org/T10271,Seismic Imaging and Inversion Techniques,Geophysics,Earth and Planetary Sciences,Physical Sciences
https://openalex.org/T10002,Advanced Chemical Physics Studies,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences
https://openalex.org/T14249,Water Quality Monitoring and Analysis,Industrial and Manufacturing Engineering,Environmental Science,Physical Sciences
https://openalex.org/T11027,Metabolism and Genetic Disorders,Clinical Biochemistry,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T10715,Distributed and Parallel Computing Systems,Computer Networks and Communications,Computer Science,Physical Sciences
https://openalex.org/T11742,Economic Theory and Policy,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences
https://openalex.org/T10236,Aquatic Ecosystems and Phytoplankton Dynamics,Environmental Chemistry,Environmental Science,Physical Sciences
https://openalex.org/T11050,Photorefractive and Nonlinear Optics,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences
https://openalex.org/T12532,Historical and Cultural Archaeology Studies,Anthropology,Social Sciences,Social Sciences
https://openalex.org/T10230,Marine and fisheries research,Global and Planetary Change,Environmental Science,Physical Sciences
https://openalex.org/T11715,Education and Critical Thinking Development,Education,Social Sciences,Social Sciences
https://openalex.org/T13064,Dutch Social and Cultural Studies,Education,Social Sciences,Social Sciences
https://openalex.org/T14186,Healthcare Systems and Practices,General Health Professions,Health Professions,Health Sciences
https://openalex.org/T10182,Child and Adolescent Psychosocial and Emotional Development,Clinical Psychology,Psychology,Social Sciences
https://openalex.org/T14149,Historical and Literary Analyses,Literature and Literary Theory,Arts and Humanities,Social Sciences
https://openalex.org/T10110,earthquake and tectonic studies,Geophysics,Earth and Planetary Sciences,Physical Sciences
https://openalex.org/T10152,Animal Nutrition and Physiology,Animal Science and Zoology,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T12977,Spanish Literature and Culture Studies,Literature and Literary Theory,Arts and Humanities,Social Sciences
https://openalex.org/T12266,Byzantine Studies and History,Classics,Arts and Humanities,Social Sciences
https://openalex.org/T11290,Preterm Birth and Chorioamnionitis,Epidemiology,Medicine,Health Sciences
https://openalex.org/T10527,High-Energy Particle Collisions Research,Nuclear and High Energy Physics,Physics and Astronomy,Physical Sciences
https://openalex.org/T13656,"Science, Research, and Medicine",Reproductive Medicine,Medicine,Health Sciences
https://openalex.org/T12804,Thermal Analysis in Power Transmission,Control and Systems Engineering,Engineering,Physical Sciences
https://openalex.org/T10457,Education Pedagogy and Practices,Education,Social Sciences,Social Sciences
https://openalex.org/T10054,Parallel Computing and Optimization Techniques,Hardware and Architecture,Computer Science,Physical Sciences
https://openalex.org/T12641,Historical and socio-economic studies of Spain and related regions,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/T12289,Library Science and Administration,Library and Information Sciences,Social Sciences,Social Sciences
https://openalex.org/T11891,Big Data and Business Intelligence,Management Information Systems,"Business, Management and Accounting",Social Sciences
https://openalex.org/T10089,Avian ecology and behavior,Ecology,Environmental Science,Physical Sciences
https://openalex.org/T10572,Geophysical and Geoelectrical Methods,Geophysics,Earth and Planetary Sciences,Physical Sciences
https://openalex.org/T10595,Medieval Literature and History,Classics,Arts and Humanities,Social Sciences
https://openalex.org/T10804,"Health Systems, Economic Evaluations, Quality of Life",Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/T10162,Online and Blended Learning,Education,Social Sciences,Social Sciences
https://openalex.org/T11387,Ichthyology and Marine Biology,Nature and Landscape Conservation,Environmental Science,Physical Sciences
https://openalex.org/T14451,Historical and Religious Studies of Rome,History,Arts and Humanities,Social Sciences
https://openalex.org/T11228,Bat Biology and Ecology Studies,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T11796,Horticultural and Viticultural Research,Plant Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T11168,International Development and Aid,Development,Social Sciences,Social Sciences
https://openalex.org/T13129,Material Properties and Applications,General Materials Science,Materials Science,Physical Sciences
https://openalex.org/T12773,Water Quality and Resources Studies,Water Science and Technology,Environmental Science,Physical Sciences
https://openalex.org/T12764,Polish Historical and Cultural Studies,Political Science and International Relations,Social Sciences,Social Sciences
https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis,Mechanics of Materials,Engineering,Physical Sciences
https://openalex.org/T10360,Fluid Dynamics and Turbulent Flows,Computational Mechanics,Engineering,Physical Sciences
https://openalex.org/T13734,Advanced Computational Techniques and Applications,Artificial Intelligence,Computer Science,Physical Sciences
https://openalex.org/T10019,Corporate Finance and Governance,Accounting,"Business, Management and Accounting",Social Sciences
https://openalex.org/T13996,Diverse Musicological Studies,Music,Arts and Humanities,Social Sciences
https://openalex.org/T13568,Wood and Agarwood Research,Organic Chemistry,Chemistry,Physical Sciences
https://openalex.org/T12925,Educational and Social Studies,Education,Social Sciences,Social Sciences
https://openalex.org/T10406,Planetary Science and Exploration,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences
https://openalex.org/T10503,Global Financial Crisis and Policies,Finance,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/T10758,Cinema and Media Studies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/T13939,Archaeology and Natural History,Anthropology,Social Sciences,Social Sciences
https://openalex.org/T14313,Health and Well-being Studies,Clinical Psychology,Psychology,Social Sciences
https://openalex.org/T13883,Child and Adolescent Health,General Health Professions,Health Professions,Health Sciences
https://openalex.org/T11410,Cultural Industries and Urban Development,Urban Studies,Social Sciences,Social Sciences
https://openalex.org/T11203,Jewish and Middle Eastern Studies,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T11472,Analytical Chemistry and Sensors,Bioengineering,Chemical Engineering,Physical Sciences
https://openalex.org/T10413,High-pressure geophysics and materials,Geophysics,Earth and Planetary Sciences,Physical Sciences
https://openalex.org/T13706,Management and Optimization Techniques,Strategy and Management,"Business, Management and Accounting",Social Sciences
https://openalex.org/T10051,Asthma and respiratory diseases,Physiology,Medicine,Health Sciences
https://openalex.org/T11563,Indian and Buddhist Studies,Religious studies,Arts and Humanities,Social Sciences
https://openalex.org/T11162,Enzyme Structure and Function,Materials Chemistry,Materials Science,Physical Sciences
https://openalex.org/T10472,Semiconductor materials and devices,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T10240,Plant tissue culture and regeneration,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T13028,Literature and Culture Studies,Literature and Literary Theory,Arts and Humanities,Social Sciences
https://openalex.org/T12495,Electrostatic Discharge in Electronics,Electrical and Electronic Engineering,Engineering,Physical Sciences
